date, pm25, pm10, o3, no2, so2, co
2020/10/16, 57, 20, 5, 10, 1, 
2020/10/17, 34, 19, 10, 5, , 
2020/10/18, 19, 22, 9, 7, , 
2020/10/19, 18, 23, 11, 8, , 
2020/10/20, 19, 24, 14, 7, , 
2020/10/21, 24, 35, 16, 7, , 
2020/10/22, 39, 46, 19, 8, , 
2020/10/23, 49, 53, 27, 8, , 
2020/10/24, 57, 52, 24, 4, , 
2020/10/25, 57, 31, 14, 6, , 
2020/10/26, 37, 32, 12, 8, , 
2020/10/27, 40, 37, 14, 3, , 
2020/10/28, 46, 21, 7, 5, , 
2020/10/29, 20, 22, 7, 4, , 
2020/10/30, 22, 21, 12, 7, , 
2020/10/31, 19, 25, 14, 5, , 
2020/11/1, 30, 32, 15, 6, , 
2020/11/2, 39, 34, 15, 7, , 
2020/11/3, 41, 26, 17, 6, , 
2020/11/4, 31, 36, 17, 6, , 
2020/11/5, 45, 32, 19, 6, , 
2020/11/6, 41, 44, 17, 7, , 
2020/11/7, 56, 46, 17, 7, 3, 
2020/11/8, 59, 48, 19, 4, , 
2020/11/9, 64, 42, 26, 1, , 
2020/11/10, 49, 45, 27, 1, , 
2020/11/11, 52, 41, 26, 2, , 
2020/11/12, 50, 55, 26, 6, , 
2020/11/13, 65, 37, 9, 5, , 
2020/11/14, 58, , 13, 1, , 
2020/11/18, 13, 44, 11, 4, , 
2020/11/19, 58, 40, 13, 3, 3, 
2020/11/20, 64, 39, 11, 2, , 
2020/11/21, 67, 29, 11, 1, , 
2020/11/22, 58, 26, 11, 1, 1, 
2020/11/23, 53, 28, 13, , , 
2020/11/24, 56, 29, 16, , , 
2020/11/25, 56, 33, 16, , , 
2020/11/26, 59, 27, 19, , , 
2020/11/27, 56, 33, 22, , , 
2020/11/28, 65, 25, 23, , , 
2020/11/29, 56, 28, 23, , , 
2020/11/30, 59, 30, 24, , , 
2020/12/1, 61, 30, 24, , , 
2020/12/2, 59, 35, 26, , , 
2020/12/3, 66, 42, 21, , , 
2020/12/4, 68, 32, 24, , , 
2020/12/5, 63, 35, 23, , , 
2020/12/6, 72, 42, 22, , , 
2020/12/7, 75, 46, 25, , , 
2020/12/8, 80, 46, 21, , , 
2020/12/9, 80, 39, 20, , , 
2020/12/10, 73, 34, 21, , , 
2020/12/11, 64, 28, 17, , , 
2020/12/12, 58, 36, 18, , , 
2020/12/13, 69, 41, 15, , , 
2020/12/14, 68, 28, 16, , , 
2020/12/15, 53, 22, 19, , , 
2020/12/16, 51, 23, 21, , , 
2020/12/17, 49, 25, 22, , , 
2020/12/18, 52, 30, 23, , , 
2020/12/19, 56, 29, 20, , , 
2020/12/20, 60, 46, 22, , , 
2020/12/21, 77, 51, 23, , , 
2020/12/22, 82, 45, 20, , , 
2020/12/23, 76, 31, 22, , , 
2020/12/24, 58, , 20, , , 
2020/12/25, 53, , 18, , , 
2020/12/26, 58, , 18, , , 
2020/12/27, 57, , 14, , , 
2020/12/28, 60, , 16, , , 
2020/12/29, 62, , 20, , , 
2020/12/30, 58, , 23, , , 
2020/12/31, 60, , 25, , , 
2021/1/1, 68, , 25, , , 
2021/1/2, 74, , 24, , , 
2021/1/3, 67, , 24, , , 
2020/7/1, 59, 28, , 19, , 
2020/7/2, 61, 35, , 15, , 
2020/7/3, 63, 35, , 18, , 
2020/7/4, 65, 36, , 9, , 
2020/7/5, 64, 30, , 15, , 
2020/7/6, 62, 40, 5, 8, , 
2020/7/7, 65, 43, 11, , , 
2020/7/8, 64, 40, 18, , , 
2020/7/9, 63, 35, 16, , , 
2020/7/10, 63, 35, 15, , , 
2020/7/11, 67, 33, 18, , , 
2020/7/12, 63, 34, 9, 20, 1, 
2020/7/13, 62, 20, , 11, 7, 
2020/7/14, 60, 21, 11, 4, 8, 
2020/7/15, 60, 23, 13, 4, 2, 
2020/7/16, 60, 21, 12, 4, 7, 
2020/7/17, 59, 27, 24, 6, 6, 
2020/7/18, 63, 27, 21, 4, , 
2020/7/19, 64, 24, 15, 4, , 
2020/7/20, 63, 25, 13, 4, , 
